"","ADDRESSPOSTALCODE","ADDRESSBUILDINGNAME","ADDRESSUNITNUMBER","ADDRESSFLOORNUMBER","ADDRESSSTREETNAME","ADDRESSBLOCKHOUSENUMBER","DESCRIPTION","NAME","Longtitude","Latitude"
"148","208574","","","","King George's Ave","340B","","Jagsport",103.862434227156,1.31015179809918
"149","89129","","","","Keong Siak Road","22","","Kapap Singapore",103.841668651741,1.28004625410654
"150","449290","Laguna Park","27","1","Marine Parade Road","5000","","Kate Porter Yoga",103.931988303014,1.31004098717818
"151","180010","","50","1","Selegie Road","10","","Oasis Holistic",103.850537243387,1.30370879489711
"152","189203","","","","Haji Lane","10A","","OhmSantih Yoga",103.859384497354,1.30050427305572
"153","88507","","","","A Tanjong Pagar Road","86","Operating Hours: Monday - Friday: 7.30am - 9.00pm Saturday: 7.30am - 3.00pm","Gold's Gym - Tanjong Pagar",103.843683536784,1.27843513234261
"154","88509","","","","Tanjong Pagar Road","88A","","Masters' Yoga Sadhan",103.843673722806,1.27839696546876
"155","49870","","1","2","","41276","Operating Hours: Monday - Friday: 7.00am - 9.00pm Saturday: 7.00am - 4.00pm Sunday and Public Holiday: 8.00am - 3.00pm","Fitness Factory -",103.849144620549,1.2884814659674
"156","238882","Far East Shopping Centre","10","16","Orchard Road","545","P: +65-97615523 E: info@activered.sg","Active Life Center",103.829984827987,1.30550611670641
"157","648886","","","3","Jurong West Central 3","63","Operating Hours: Monday - Friday: 9.00 AM - 10.00 PM  Saturday: 9.00 AM - 9.30 PM Sunday & Public Holiday: 9.00 AM - 9.00 PM","Amore Fitness - Jurong Point 2",103.706460886826,1.33983014805774
"158","179030","","17","2","River Valley Road","177","Operating Hours: Monday - Friday: 10.30 AM - 9.30 PM Saturday: 10.30 AM - 9.00 PM Sunday & Public Holiday: 10.30 AM - 9.00 PM","Amore Fitness - Liang Court",103.844586298874,1.29151478613339
"159","529536","","18","5","Tampines Central 1","10","Operating Hours: Monday-Friday: 8.00 AM - 10.00 PM Saturday: 9.00 AM - 9.30 PM Sunday & Public Holiday: 9.00 AM - 9.00 PM","Amore Fitness - Tampines 1",103.94501945797,1.35431556438278
