"","PHOTOURL","ADDRESSBLOCKHOUSENUMBER","NAME","ADDRESSSTREETNAME","ADDRESSPOSTALCODE","ADDRESS_MYENV","Longtitude","Latitude"
"17","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538105392.jpg","341","Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court)","Ang Mo Kio Ave 1","560341","Blk 341, Ang Mo Kio Ave 1, Singapore 560341",103.848254220438,1.36410517096399
"18","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538704472.jpg","409","Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square)","Ang Mo Kio Ave 10","560409","Blk 409, Ang Mo Kio Ave 10, Singapore 560409",103.855369790045,1.36276891777383
"19","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259902043777.jpg","453A","Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre)","Ang Mo Kio Ave 10","561453","Blk 453A, Ang Mo Kio Ave 10, Singapore 561453",103.856351437414,1.36824049310006
"20","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165592824.jpg","527","Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre)","Ang Mo Kio Ave 10","560527","Blk 527, Ang Mo Kio Ave 10, Singapore 560527",103.854482811591,1.37276992816898
"21","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165416622.jpg","160/162","Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market)","Ang Mo Kio Ave 4","560160","Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162",103.839214290038,1.37448912101909
"22","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-628-ang-mo-kio-ave-4.jpg","628","Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market)","Ang Mo Kio Ave 4","560628","Blk 628, Ang Mo Kio Ave 4, Singapore 560628",103.840682307297,1.38102486670548
"23","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155216756.jpg","724","Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market)","Ang Mo Kio Ave 6","560724","Blk 724, Ang Mo Kio Ave 6, Singapore 560724",103.846519219268,1.37219743270045
"24","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901689557.jpg","226H","Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre)","Ang Mo Kio Street 22","568226","Blk 226H, Ang Mo Kio Street 22, Singapore 568226",103.839953165936,1.36723014879667
"25","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176030572.jpg","1","Bedok Food Centre","Bedok Road","469572","1, Bedok Road, Singapore 469572",103.955474150677,1.32035600765426
"26","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154705733.jpg","216","Bedok North Street 1 Blk 216","Bedok North Street 1","460216","Blk 216, Bedok North Street 1, Singapore 460216",103.933221544751,1.32706240888967
"27","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166047112.jpg","511","Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre)","Bedok North Street 3","460511","Blk 511, Bedok North Street 3, Singapore 460511",103.930602144469,1.33324627868937
"28","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155176127.jpg","630","Bedok Reservoir Road Blk 630","Bedok Reservoir Road","470630","Blk 630, Bedok Reservoir Road, Singapore 470630",103.91405388831,1.33315924777343
"29","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853021378.jpg","16","Bedok South Road Blk 16","Bedok South Road","460016","Blk 16, Bedok South Road, Singapore 460016",103.93553909635,1.32055216480957
"30","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226446535.jpg","29","Bendemeer Road Blk 29 (Bendemeer Market and Food Centre)","Bendemeer Road","330029","Blk 29, Bendemeer Road, Singapore 330029",103.863021377531,1.31921699786807
"31","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267807628554.jpg","38A","Beo Crescent Market","Beo Crescent","169982","38A, Beo Crescent, Singapore 169982",103.827358017197,1.28882210205212
"32","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176120532.jpg","166","Berseh Food Centre","Jalan Besar","208877","166, Jalan Besar, Singapore 208877",103.856853966617,1.30733651651517
"33","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154766447.jpg","221A/B","Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village)","Boon Lay Place","641221","Blk 221A/B, Boon Lay Place, Singapore 641221/642221",103.712799765872,1.3452231627967
"34","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156313186.jpg","665","Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market)","Buffalo Road","210665","Blk 665, Buffalo Road, Singapore 210665",103.850530969624,1.30620584090733
"35","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851995788.jpg","163","Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre)","Bukit Merah Central","150163","Blk 163, Bukit Merah Central, Singapore 150163",103.816992390295,1.28369258928085
"36","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267852344747.jpg","120","Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre)","Bukit Merah Lane 1","150120","Blk 120, Bukit Merah Lane, Singapore 150120",103.804489277779,1.28629777221659
"37","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267851251303.jpg","115","Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre)","Bukit Merah View","151115","Blk 115, Bukit Merah View, Singapore 151115",103.822049361292,1.28550478314618
"38","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bukit-panjang-hawker-centre.jpg","2","Bukit Panjang Hawker Centre","Bukit Panjang Ring Road","679947","2 Bukit Panjang Ring Road, Singapore 679947",103.772489583206,1.37760053528611
"39","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176195262.jpg","51","Bukit Timah Market","Upper Bukit Timah Road","588215","51, Upper Bukit Timah Road, Singapore 588215",103.775995008012,1.33937596351523
"40","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166819326.jpg","41A","Cambridge Road Blk 41A (Pek Kio Market and Food Centre)","Cambridge Road","211041","Blk 41A, Cambridge Road, Singapore 211041",103.850225081031,1.31615991374589
"41","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267846802175.jpg","2&3","Changi Village Blk 2 and 3","Changi Village Road","500002","Blk 2/3, Changi Village Road, Singapore 500002/500003",103.988245749103,1.38915172065006
"42","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155330191.jpg","20","Chomp Chomp Food Centre","Kensington Park Road","557269","20, Kensington Park Road, Singapore 557269",103.866536130299,1.36422852315868
"43","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/ci-yuan-hawker-centre.jpg","51","Ci Yuan Hawker Centre","Hougang Avenue 9","538776","51 Hougang Avenue 9, Singapore 538776",103.882977999397,1.37542896666561
"44","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1280824598.jpg","79/79A","Circuit Road Blk 79/79A","Circuit Road","370079","Blk 79/79A, Circuit Road, Singapore 370079/371079",103.885043500019,1.32644992167231
"45","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153912521.jpg","80","Circuit Road Blk 80 (80 Circuit Road Market and Food Centre)","Circuit Road","370080","Blk 80, Circuit Road, Singapore 370080",103.887128535137,1.32784956142548
"46","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154127554.jpg","89","Circuit Road Blk 89","Circuit Road","370089","Blk 89, Circuit Road, Singapore 370089",103.885449224256,1.32344525333847
"47","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267847852167.jpg","353","Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre)","Clementi Ave 2","120353","Blk 353, Clementi Ave 2, Singapore 120353",103.770836740843,1.31436772839327
"48","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848308255.jpg","448","Clementi Ave 3 Blk 448","Clementi Ave 3","120448","Blk 448, Clementi Ave 3, Singapore 120448",103.764510533078,1.31326486994113
"49","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155262246.jpg","726","Clementi West Street 2 Blk 726","Clementi West Street 2","120726","Blk 726, Clementi West Street 2, Singapore 120726",103.764264410293,1.3037819726711
"50","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265167388780.jpg","31","Commonwealth Crescent Market","Commonwealth Crescent","149644","31, Commonwealth Crescent, Singapore 149644",103.800362825517,1.3068922760844
"51","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/commonwealth.jpg","1A/2A/3A","Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre)","Commonwealth Drive","141001","Blk 1A/ 2A/ 3A, Commonwealth Drive, Singapore 140001/140002/140003",103.797875477439,1.29971330531884
"52","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155459807.jpg","271","Dunman Food Centre","Onan Road","424768","271, Onan Road, Singapore 424768",103.90182514721,1.30941418731185
"53","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155504536.jpg","1220","East Coast Lagoon Food Village","East Coast Parkway","468960","1220, East Coast Parkway, Singapore 468960",103.935016747249,1.30668431820832
"54","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152572393.jpg","7","Empress Road Blk 7 (Empress Road Market and Food Centre)","Empress Road","260007","Blk 7, Empress Road, Singapore 260007",103.805636386821,1.31624573118373
"55","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-69-geylang-bahru.jpg","69","Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre)","Geylang Bahru","330069","Blk 69, Geylang Bahru, Singapore 330069",103.870004415152,1.32146226027018
"56","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155542468.jpg","","Geylang Serai Market","Geylang Serai","402001","1, Geylang Serai, Singapore 402001",103.898224315881,1.3167281476983
"57","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848628803.jpg","20","Ghim Moh Road Blk 20","Ghim Moh Road","270020","Blk 20, Ghim Moh Road, Singapore 270020",103.788230657145,1.31099627311591
"58","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155571228.jpg","505","Golden Mile Food Centre","Beach Road","199583","505, Beach Road, Singapore 199583",103.863883249985,1.30287548090781
"59","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848993155.jpg","13/14","Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre)","Haig Road","430013","Blk 13/14, Haig Road, Singapore 430013/430014",103.895609494855,1.3151420505272
"60","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152823428.jpg","22A/B","Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre)","Havelock Road","161022","Blk 22A/B, Havelock Road, Singapore 161022/162022",103.829626834637,1.28797543998733
"61","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/our-tampines-hub.jpg","1","Hawker Centre @ Our Tampines Hub","Tampines Walk","528523","1 Tampines Walk, Singapore 528523",103.939726160039,1.35386211773287
"62","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901832200.jpg","320","Shunfu Road Blk 320 (Shunfu Mart)","Shunfu Road","570320","Blk 320, Shunfu Road, Singapore 570320",103.837031803823,1.35200744198417
"63","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153128123.jpg","49","Sims Place Blk 49 (Sims Vista Market and Food Centre)","Sims Place","380049","Blk 49, Sims Place, Singapore 380049",103.879417030673,1.31708335109103
"64","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168178798.jpg","335","Smith Street Blk 335 (Chinatown Complex Market)","Smith Street","50335","Blk 335, Smith Street, Singapore 050335",103.843177616296,1.28223514826381
"65","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156147897.jpg","3","Taman Jurong Market and Food Centre","Yung Sheng Road","618499","3, Yung Sheng Road, Singapore 618499",103.721519868629,1.33458935951076
"66","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154543785.jpg","137","Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre)","Tampines Street 11","521137","Blk 137, Tampines Street 11, Singapore 521137",103.944624481151,1.3456395210229
"67","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156211794.jpg","48A","Tanglin Halt Market","Tanglin Halt Road","148813","48A, Tanglin Halt Road, Singapore 148813",103.797625756738,1.30078931480841
"68","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-6-tanjong-pagar-plaza.jpg","6","Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre)","Tanjong Pagar Plaza","81006","Blk 6, Tanjong Pagar Plaza, Singapore 081006",103.843166992138,1.27661461066321
"69","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153022672.jpg","37A","Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre)","Teban Gardens Road","601037","Blk 37A, Teban Garden Road, Singapore 601037",103.742891623681,1.32084835041654
"70","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267876741836.gif","11","Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre)","Telok Blangah Crescent","90011","Blk 11, Telok Blangah Crescent, Singapore 090011",103.818641695106,1.27736683810318
"71","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267873497497.jpg","4A","Eunos Crescent Blk 4A","Eunos Crescent","402004","Blk 4A, Eunos Crescent, Singapore 402004",103.904260878989,1.32033178221424
"72","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153497855.jpg","79","Telok Blangah Drive Blk 79 (Telok Blangah Food Centre)","Telok Blangah Drive","100079","Blk 79, Telok Blangah Drive, Singapore 100079",103.807626838954,1.27336828250285
"73","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267879560483.jpg","70","Zion Riverside Food Centre","Zion Road","247792","70, Zion Road, Singapore 247792",103.831189303546,1.29234216757957
"74","","202C","Woodleigh Village Hawker Centre","Woodleigh Link","363202","",103.872090241567,1.3397961360031
"75","","339","Anchorvale Village Hawker Centre","Anchorvale Road","540339","",103.888489618777,1.39691417603694
"76","","","Punggol Digital District Hawker Centre","Ponggol Seventeenth Avenue","","",103.908252830309,1.41456688638677
"77","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267849222112.jpg","44","Holland Drive Blk 44 (Holland Drive Market and Food Centre)","Holland Drive","270044","Blk 44, Holland Drive, Singapore 270044",103.792773765463,1.30811775909823
"78","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267415509849.jpg","1","Holland Village Market and Food Centre","Lorong Mambong","277700","1, Lorong Mambong, Singapore 277700",103.794862936127,1.31090802808558
"79","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901634108.jpg","105","Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre)","Hougang Ave 1","530105","Blk 105, Hougang Ave 1, Singapore 530105",103.890081064953,1.35383739101169
"80","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267849628846.jpg","209","Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre)","Hougang Street 21","530209","Blk 209, Hougang Street 21, Singapore 530209",103.885977616903,1.35911942212642
"81","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874223880.jpg","4A","Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market)","Jalan Batu","432004","Blk 4A, Jalan Batu, Singapore 432004",103.88394058022,1.30241881353449
"82","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874698833.jpg","112","Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre)","Jalan Bukit Merah","160112","Blk 112, Jalan Bukit Merah, Singapore 160112",103.826013285715,1.28000481198881
"83","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267760203.jpg","6","Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre)","Jalan Bukit Merah","150006","Blk 6, Jalan Bukit Merah, Singapore 150006",103.808127999318,1.28695275198944
"84","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874440744.jpg","1","Jalan Kukoh Blk 1 (Kukoh 21 Food Centre)","Jalan Kukoh","161001","Blk 1, Jalan Kukoh, Singapore 161001",103.839945947186,1.28823055540002
"85","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275537901886.jpg","347","Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre)","Jurong East Ave 1","600347","Blk 347, Jurong East Ave 1, Singapore 600347",103.731579747132,1.34531247026793
"86","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265167615307.jpg","254","Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre)","Jurong East Street 24","600254","Blk 254, Jurong East Street 24, Singapore 600254",103.737781231485,1.34344213770991
"87","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/jurong-west-hawker-centre.jpg","50","Jurong West Hawker Centre","Jurong West Street 61","648202","Blk 50, Jurong West St 61, Singapore 648202",103.697404254467,1.3412597060095
"88","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155040710.jpg","505","Jurong West Street 52 Blk 505","Jurong West Street 52","640505","Blk 505, Jurong West Street 52, Singapore 640505",103.71844754363,1.34964224318434
"89","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155698415.jpg","17","Kallang Estate Fresh Market and Food Centre","Old Airport Road","397972","17, Old Airport Road, Singapore 397972",103.884130183315,1.30739616009942
"90","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153717849.jpg","85","Redhill Lane Blk 85 (Redhill Food Centre)","Redhill Lane","150085","Blk 85, Redhill Lane, Singapore 150085",103.818338919994,1.28733076703987
"91","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/kampung-admiralty-hawker-centre.jpg","676","Kampung Admiralty Hawker Centre","Woodlands Drive 71","730676","Blk 676, Woodlands Drive 71, Singapore 730676",103.800696448529,1.43993283228134
"92","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267875360164.jpg","84","Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre)","Marine Parade Central","440084","Blk 84, Marine Parade Central, Singapore 440084",103.906338526157,1.30228513841822
"93","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153165514.jpg","50A","Marine Terrace Blk 50A (50A Marine Terrace)","Marine Terrace","441050","Blk 50A, Marine Terrace, Singapore 441050",103.915761950557,1.30577514781108
"94","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152527264.jpg","20/21","Marsiling Lane Blk 20/21","Marsiling Lane","730020","Blk 20/21, Marsiling Lane, Singapore 730020/730021",103.777203165702,1.44388181695611
"95","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155734465.jpg","1","Maxwell Food Centre (Kim Hua Market)","Kadayanallur Street","69184","1, Kadayanallur Street, Singapore 069184",103.844827863123,1.28011223513205
"96","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154581891.jpg","159","Mei Chin Road Blk 159 (Mei Chin Road Market)","Mei Chin Road","140159","Blk 159, Mei Chin Road, Singapore 140159",103.802903901116,1.29323622090658
"97","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168123284.jpg","32","New Market Road Blk 32 (People's Park Food Centre)","New Market Road","50032","Blk 32, New Market Road, Singapore 050032",103.842578750107,1.28499102169498
"98","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bedok-interchange-hawker-centre.jpg","208B","New Upper Changi Road Blk 208B","New Upper Changi Road","462208","Blk 208B, New Upper Changi Road, Singapore 462208",103.93056047823,1.32473884451035
"99","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153263293.jpg","58","New Upper Changi Road Blk 58","New Upper Changi Road","461058","Blk 58, New Upper Changi Road, Singapore 461058",103.941132372619,1.32418782817919
"100","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155777485.jpg","500","Newton Food Centre","Clemenceau Ave North","229495","500, Clemenceau Ave North, Singapore 229495",103.839562687644,1.31189235691653
"101","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155297184.jpg","861","North Bridge Road Market","North Bridge Road","198783","861, North Bridge Road, Singapore 198783",103.863891012338,1.30576537802761
"102","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153198645.jpg","51","Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall)","Old Airport Road","390051","Blk 51, Old Airport Road, Singapore 390051",103.885833217727,1.30825156309798
"103","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155813373.jpg","121","Pasir Panjang Food Centre","Pasir Panjang Road","118543","121, Pasir Panjang Road, Singapore 118543",103.791402660553,1.27590752450201
"104","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/pasir-ris-central-hawker-centre.jpg","110","Pasir Ris Central Hawker Centre","Pasir Ris Central","519641","Blk 110, Pasir Ris Central, Singapore 519641",103.951543034782,1.37343413973246
"105","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267850253199.jpg","270","Queen Street Blk 270 (Albert Centre)","Queen Street","180270","Blk 270, Queen Street, Singapore 180270",103.854211645499,1.30100146521405
"106","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153664347.jpg","79","Redhill Lane Blk 79 (Redhill Market)","Redhill Lane","150079","Blk 79, Redhill Lane, Singapore 150079",103.818402623449,1.2878581025663
"107","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155861677.jpg","590","Sembawang Hills Food Centre (Jalan Leban Food Centre)","Upper Thomson Road","574419","590, Upper Thomson Road, Singapore 574419",103.828994204342,1.37238494002145
"108","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156095817.jpg","49A","Serangoon Garden Market","Serangoon Garden Way","555945","49A, Serangoon Garden Way, Singapore 555945",103.866737484646,1.3631571201113
"109","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153608307.jpg","82","Telok Blangah Drive Blk 82 (Telok Blangah Market)","Telok Blangah Drive","100082","Blk 82, Telok Blangah Drive, Singapore 100082",103.807943567416,1.27391379857001
"110","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267858653663.jpg","36","Telok Blangah Rise Blk 36 (Telok Blangah Rise Market)","Telok Blangah Rise","90036","Blk 36, Telok Blangah Rise, Singapore 090036",103.82211725658,1.27271579716508
"111","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156378375.jpg","30","Tiong Bahru Market","Seng Poh Road","168898","30, Seng Poh Road, Singapore 168898",103.832348785334,1.28508825756819
"112","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154499803.jpg","127","Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court)","Lorong 1 Toa Payoh","310127","Blk 127, Lorong 1 Toa Payoh, Singapore 310127",103.84473162196,1.33809268551386
"113","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226848493.jpg","74","Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market)","Lorong 4 Toa Payoh","310074","Blk 74, Lorong 4 Toa Payoh, Singapore 310074",103.851999137527,1.33454816495637
"114","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154305312.jpg","93","Toa Payoh Lorong 4 Blk 93","Lorong 4 Toa Payoh","310093","Blk 93, Lorong 4 Toa Payoh, Singapore 310093",103.849513484035,1.3384747524617
"115","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267878144152.jpg","75","Toa Payoh Lorong 5 Blk 75","Lorong 5 Toa Payoh","310075","Blk 75, Lorong 5 Toa Payoh, Singapore 310075",103.852941556275,1.33603882157063
"116","http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168256123.jpg","22","Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre)","Lorong 7 Toa Payoh","310022","Blk 22, Lorong 7 Toa Payoh, Singapore 310022",103.857036007166,1.33523145909678
